HTTP/1.1 200 OK
Server: Experimental Ithakicopter Java Server Version 0.4
Content-Type: text/html



Ithakicopter remote control.<br>
Ready to enter a request-response control session.<br>
Request packet format :<br>
AUTO FLIGHTLEVEL=FFF LMOTOR=LLL RMOTOR=RRR PILOT <CR><LF><br>
Response packet format :<br>
ITHAKICOPTER LMOTOR=LLL RMOTOR=RRR ALTITUDE=AAA TEMPERATURE=TT.TT PRESSURE=PPPP.PP TELEMETRY <CR><LF><br>
<br>
ITHAKICOPTER LMOTOR=196 RMOTOR=196 ALTITUDE=239 TEMPERATURE=+24.44 PRESSURE=999.35 TELEMETRY 
ITHAKICOPTER LMOTOR=194 RMOTOR=194 ALTITUDE=239 TEMPERATURE=+24.44 PRESSURE=999.35 TELEMETRY 
ITHAKICOPTER LMOTOR=196 RMOTOR=196 ALTITUDE=238 TEMPERATURE=+24.44 PRESSURE=999.37 TELEMETRY 
ITHAKICOPTER LMOTOR=195 RMOTOR=195 ALTITUDE=238 TEMPERATURE=+24.44 PRESSURE=999.37 TELEMETRY 
ITHAKICOPTER LMOTOR=196 RMOTOR=196 ALTITUDE=239 TEMPERATURE=+24.44 PRESSURE=999.37 TELEMETRY 
ITHAKICOPTER LMOTOR=195 RMOTOR=195 ALTITUDE=240 TEMPERATURE=+24.44 PRESSURE=999.37 TELEMETRY 
ITHAKICOPTER LMOTOR=196 RMOTOR=196 ALTITUDE=239 TEMPERATURE=+24.44 PRESSURE=999.40 TELEMETRY 
ITHAKICOPTER LMOTOR=195 RMOTOR=195 ALTITUDE=240 TEMPERATURE=+24.44 PRESSURE=999.40 TELEMETRY 
ITHAKICOPTER LMOTOR=193 RMOTOR=193 ALTITUDE=239 TEMPERATURE=+24.44 PRESSURE=999.40 TELEMETRY 
ITHAKICOPTER LMOTOR=196 RMOTOR=196 ALTITUDE=238 TEMPERATURE=+24.42 PRESSURE=999.34 TELEMETRY 
ITHAKICOPTER LMOTOR=195 RMOTOR=195 ALTITUDE=237 TEMPERATURE=+24.42 PRESSURE=999.34 TELEMETRY 
ITHAKICOPTER LMOTOR=196 RMOTOR=196 ALTITUDE=237 TEMPERATURE=+24.42 PRESSURE=999.34 TELEMETRY 
ITHAKICOPTER LMOTOR=195 RMOTOR=195 ALTITUDE=239 TEMPERATURE=+24.42 PRESSURE=999.34 TELEMETRY 
